Exoplanet,TIC ID,Products,Period,Epochs
55 Cnc e,332064670,1,0.736539,30
AU Mic b,441420236,2,8.462991,6
CoRoT-1 b,36352297,1,1.5089557,15
CoRoT-4 b,36440357,1,9.20205,3
CoRoT-5 b,234112540,1,4.0378962,6
CoRoT-7 b,280304863,1,0.85359163,26
CoRoT-12 b,280210963,1,2.828042,8
CoRoT-18 b,37168957,1,1.9000693,12
CoRoT-19 b,42821097,1,3.89713,6
CoRoT-24 b,36105482,1,5.1134,5
GJ 143 b,279741379,7,35.61253,5
GJ 436 b,138819293,1,2.64388312,9
GJ 1132 b,101955023,2,1.628931,27
GJ 1252 b,370133522,2,0.5182349,85
GJ 3473 b,452866790,1,1.1980035,19
HAT-P-2 b,39903405,2,5.6334729,8
HAT-P-3 b,311035838,2,2.899703,16
HAT-P-4 b,138294130,1,3.056536,8
HAT-P-5 b,76419763,1,2.788491,8
HAT-P-9 b,371234684,1,3.922814,6
HAT-P-11 b,28230919,2,4.887802443,9
HAT-P-12 b,198108326,1,3.2130598,7
HAT-P-16 b,191284318,1,2.77596,8
HAT-P-17 b,266593143,1,10.33852,3
HAT-P-18 b,21744120,2,5.508023,8
HAT-P-31 b,320798691,1,5.005425,5
HAT-P-33 b,239154970,1,3.474474,7
HAT-P-34 b,278348461,1,5.452654,5
HAT-P-35 b,455096220,1,3.646706,7
HAT-P-36 b,373693175,1,1.327347,17
HAT-P-37 b,267572272,1,2.79736,8
HAT-P-42 b,270468559,1,4.641878,5
HAT-P-50 b,17746821,1,3.1220109,8
HAT-P-67 b,198588220,2,4.8101025,10
HATS-1 b,219698950,1,3.446459,7
HATS-2 b,413376180,1,1.354133,17
HATS-3 b,336732616,1,3.547851,7
HATS-4 b,59843967,1,2.516729,9
HATS-6 b,33521996,1,3.3252725,7
HATS-7 b,220029715,1,3.185315,7
HATS-14 b,29344935,2,2.7667641,16
HATS-17 b,73717937,2,16.254611,3
HATS-18 b,14614418,1,0.83784,27
HATS-23 b,7088246,1,2.1605156,11
HATS-24 b,380589029,1,1.3484954,17
HATS-25 b,437333618,1,4.2986432,6
HATS-27 b,248111245,2,4.637038,10
HATS-29 b,201604954,1,4.6058749,5
HATS-30 b,281459670,4,3.1743516,28
HATS-32 b,204317710,2,2.8126548,16
HATS-34 b,355703913,3,2.1061607,32
HATS-45 b,4616072,2,4.1876244,11
HATS-60 b,145750719,1,3.560829,7
HD 1397 b,394137592,1,11.53604,2
HD 2685 b,267263253,3,4.12688,16
HD 15337 c,120896927,3,17.1784,4
HD 17156 b,302773669,3,21.21663,4
HD 21749 c,279741379,7,7.78993,20
HD 80606 b,457134360,1,111.4367,1
HD 86226 c,22221375,1,3.98442,6
HD 108236 b,260647166,2,3.795963,12
HD 108236 c,260647166,2,6.203449,8
HD 108236 d,260647166,2,14.175685,4
HD 136352 c,136916387,1,27.5909,1
HD 149026 b,255930614,2,2.8758911,16
HD 202772 A b,290131778,2,3.30896,14
HD 213885 b,403224672,3,1.008035,66
HD 219134 b,283722336,2,3.092926,15
HD 219666 b,266980320,2,6.03607,8
HD 221416 b,441462736,2,14.2767,4
HIP 65 A b,201248411,4,0.9809734,90
HR 858 b,178155732,3,3.58599,19
HR 858 c,178155732,3,5.97293,12
HR 858 d,178155732,3,11.23,6
K2-80 b,242961495,1,19.0918,2
K2-98 b,366410512,1,10.136448,3
K2-237 b,16288184,1,2.1805577,11
K2-265 b,146364192,1,2.369172,10
K2-277 b,404421005,1,6.326763,4
KELT-1 b,432549364,1,1.217514,19
KELT-3 b,67666096,1,2.7033902,9
KELT-6 b,165987272,1,7.8457,3
KELT-8 b,358516596,1,3.24406,7
KELT-9 b,16740101,2,1.4811235,30
KELT-11 b,55092869,1,4.736525,5
KELT-12 b,116242971,2,5.031623,9
KELT-14 b,134537478,1,1.7100566,13
KELT-16 b,236445129,1,0.9689951,23
KELT-18 b,293687315,1,2.8717518,8
KELT-19 A b,425206121,1,4.6117093,5
KELT-20 b,69679391,1,3.4741085,7
KELT-23 A b,458478250,6,2.255251,59
KOI-13 b,1717079071,1,1.763588,13
KOI-94 b,273231214,2,3.743208,12
KOI-94 c,273231214,2,10.423648,5
KOI-94 d,273231214,2,22.342989,2
KOI-94 e,273231214,2,54.32031,1
KOI-1783.01,159051209,2,134.4628,1
KOI-1783.02,159051209,2,284.215,1
KPS-1 b,99834717,1,1.70629,13
Kepler-10 b,377780790,1,0.837491,27
Kepler-11 b,169175503,2,10.3039,5
Kepler-11 c,169175503,2,13.02502,4
Kepler-11 d,169175503,2,22.6845,2
Kepler-11 f,169175503,2,46.68876,1
Kepler-11 g,169175503,2,118.3807,1
Kepler-14 b,158561566,3,6.790123,10
Kepler-16 b,299096355,3,228.776,1
Kepler-18 b,273690178,2,3.504725,13
Kepler-18 c,273690178,2,7.64159,6
Kepler-25 b,120960812,1,6.238297,4
Kepler-25 c,120960812,1,12.7207,2
Kepler-30 b,399794329,2,29.334,2
Kepler-30 c,399794329,2,60.3231,1
Kepler-30 d,399794329,2,143.343,1
Kepler-36 b,350810590,2,13.86825,4
Kepler-36 c,350810590,2,16.21865,3
Kepler-37 b,164652245,1,13.367308,2
Kepler-37 d,164652245,1,39.792187,1
Kepler-38 b,158316612,1,105.599,1
