Exoplanet,TIC ID,Products,Period,Epochs
55 Cnc e,332064670,1,0.736546,30
CoRoT-1 b,36352297,1,1.5089557,15
CoRoT-4 b,36440357,1,9.20205,3
CoRoT-5 b,234112540,1,4.0378962,6
CoRoT-7 b,280304863,1,0.85359163,26
CoRoT-12 b,280210963,1,2.828042,8
CoRoT-13 b,281909674,1,4.03519,6
CoRoT-14 b,282706928,1,1.51214,15
CoRoT-18 b,37168957,1,1.9000693,12
CoRoT-19 b,42821097,1,3.89713,6
CoRoT-20 b,234825296,1,9.24285,3
CoRoT-24 b,36105482,1,5.1134,5
CoRoT-24 c,36105482,1,11.759,2
GJ 436 b,138819293,1,2.64385,9
HAT-P-2 b,39903405,2,5.6334729,8
HAT-P-3 b,311035838,2,2.899703,16
HAT-P-4 b,138294130,1,3.056536,8
HAT-P-5 b,76419763,1,2.788491,8
HAT-P-7 b,424865156,2,2.204737,20
HAT-P-9 b,371234684,1,3.92289,6
HAT-P-11 b,28230919,2,4.8878162,9
HAT-P-12 b,198108326,1,3.2130598,7
HAT-P-14 b,101721385,2,4.627669,10
HAT-P-16 b,191284318,1,2.77596,8
HAT-P-17 b,266593143,1,10.338523,3
HAT-P-18 b,21744120,2,5.508023,8
HAT-P-21 b,17993892,1,4.124481,6
HAT-P-22 b,252479260,1,3.21222,7
HAT-P-24 b,440777904,1,3.35524,7
HAT-P-30 b,455135327,1,2.810595,8
HAT-P-31 b,320798691,1,5.005425,5
HAT-P-33 b,239154970,1,3.474474,7
HAT-P-34 b,278348461,1,5.452654,5
HAT-P-35 b,455096220,1,3.646706,7
HAT-P-36 b,373693175,1,1.327347,17
HAT-P-37 b,267572272,1,2.79736,8
HAT-P-42 b,270468559,1,4.641878,5
HAT-P-43 b,468987719,1,3.332687,7
HAT-P-44 b,168699373,1,4.301219,6
HAT-P-50 b,17746821,1,3.1220109,8
HAT-P-55 b,311408969,2,3.5852467,13
HAT-P-66 b,137881699,1,2.972086,8
HAT-P-67 b,198588220,2,4.8101025,10
HATS-1 b,219698950,1,3.446459,7
HATS-2 b,413376180,1,1.354133,17
HATS-3 b,336732616,1,3.547851,7
HATS-4 b,59843967,1,2.156729,11
HATS-5 b,139733308,1,4.763387,5
HATS-6 b,33521996,1,3.3252725,7
HATS-7 b,220029715,1,3.185315,7
HATS-13 b,289793076,2,3.0440499,15
HATS-14 b,29344935,2,2.766741,16
HATS-16 b,77044471,2,2.686502,17
HATS-17 b,73717937,2,16.254611,3
HATS-18 b,14614418,1,0.8378434,27
HATS-22 b,14661418,1,4.7228124,5
HATS-23 b,7088246,1,2.1605156,11
HATS-24 b,380589029,1,1.3484954,17
HATS-25 b,437333618,1,4.2986432,6
HATS-26 b,315002523,2,3.3023881,14
HATS-27 b,248111245,2,4.637038,10
HATS-28 b,6663331,1,3.1810781,7
HATS-29 b,201604954,1,4.6058749,5
HATS-30 b,281459670,4,3.1743516,28
HATS-32 b,204317710,2,2.8126548,16
HATS-33 b,360742636,2,2.5495551,18
