Exoplanet,P,Perr,t0,t0err,a/r*,aerr,rp,rperr,inc,incerr,ecc,eccerr,w,werr,Date,Transits
CoRoT-7 b,0.853579172531061,2.73826226705585E-06,2454446.72870204,0.002075396547677,4.33232249602212,0.040232899312498,0.01705806759549,0.000232792601469,0.017778175945597,0.000657705560394,76.6164437935534,0.710467133011521,0,0,21-Jan-2021 20:18:51,24
GJ 436 b,2.64390663552963,1.80399551161848E-06,2455280.16922193,0.00247514244403,13.81236843943,0.089326681783701,0.028584115414643,0.0003404079543,0.083493002486455,0.000257544980316,86.5093494733177,0.038783790039905,0.151116997905678,0.001634781751489,21-Jan-2021 21:59:34,8
HAT-P-12 b,3.2130716099913,3.74463958309959E-06,2455328.48015279,0.004201432404489,11.5280242200884,0.104135034441274,0.03752748945337,0.000505715241876,0.138118706399108,0.000593529961172,88.4286387888465,0.360563075244131,0.010170253541664,0.000103572514476,21-Jan-2021 23:45:12,6
HAT-P-44 b,4.30120062232626,7.15524949048849E-06,2456204.47498816,0.004527371501419,11.0487409375681,0.106009961046233,0.050867989924963,0.000704956422356,0.134025775807298,0.000784213240499,88.3570373306069,0.308839291909874,0.043438016985466,0.000450712727971,21-Jan-2021 14:29:52,6
HAT-P-66 b,2.97209464548631,8.02998128005338E-06,2457258.80065818,0.00428469768714,4.7673550835459,0.030698585484468,0.041680406026334,0.000495742841291,0.086328895570144,0.000679008268665,88.7930644977553,0.479143297337465,0.090423411641828,0.000913617356044,24-Jan-2021 15:44:27,8
HATS-57 b,2.35062915324593,5.66780562764454E-06,2457778.49398901,0.003324071440039,7.5660279964406,0.044533484221516,0.033778142873251,0.000391949833538,0.120957145733525,0.000320016041241,88.1762860637441,0.43398743341883,0.028186336499996,0.000285005303626,25-Jan-2021 10:17:53,9
HD 1397 b,11.5345292665706,0.00042005026287,2458332.08608199,0.000317367087639,9.71166975163091,0.069473948113356,0.107941487327874,0.00132717471297,0.044548648692425,0.000106589972679,89.360666162084,0.277544491189481,0.234499410834964,0.00227931893953,21-Jan-2021 05:48:50,2
HD 80606 b,111.43753276768,0.000151530669199,2455210.64046338,0.005088303571878,94.3799744578592,0.932960159107262,0.456467420558988,0.006418460793566,0.10520214467234,0.000389748118688,89.2891721008011,0.67143261671369,0.928794543971465,0.003292711553673,21-Jan-2021 02:37:07,1
HD 80606 b,111.437660057502,0.00019583249648,2455210.63523834,0.006600808402669,94.2393314343637,0.98934096314781,0.455787202551689,0.00660831201001,0.104854359010446,0.000356860582055,89.3282229402566,0.67278228744478,0.919296741799907,0.003169874458481,25-Jan-2021 06:46:46,1
HD 86226 c,3.98482948367173,0.000143754060052,2458543.25840061,0.000533406471452,10.2160149131946,0.097741063692018,0.049172066392509,0.00068052402844,0.02042690079951,0.000219285735245,86.5256273561928,0.090396632250465,0.074417754384094,0.000762006655402,21-Jan-2021 18:36:08,6
HR 858 b,3.58594929525836,6.07304051832378E-06,2458409.18724435,0.000421836329219,7.78187989151851,0.077453774194827,0.046865244075199,0.000661222026047,0.013291784481103,3.19110930116021E-05,85.0402512815836,0.244912740808981,0.2974405957713,0.002980980099477,21-Jan-2021 18:18:06,17
HR 858 c,5.97160460823729,1.57806459516189E-05,2458415.63625398,0.000473056978435,10.7240132527574,0.091493916681876,0.064583815936804,0.000848950933509,0.012356563632497,8.91006419995952E-06,85.1314177602275,0.078985076448703,0.186378500157445,0.0017760957728,21-Jan-2021 02:11:45,
