Exoplanet,Products
KOI-12 b,2
KOI-13 b,1
KOI-1783.01,2
KOI-1783.02,2
KOI-94 c,2
KOI-94 d,2
KOI-94 e,2
Kepler-10 c,1
Kepler-11 b,2
Kepler-11 c,2
Kepler-11 d,2
Kepler-11 e,2
Kepler-11 f,2
Kepler-11 g,2
Kepler-122 e,1
Kepler-122 f,1
Kepler-138 b,1
Kepler-138 c,1
Kepler-138 d,1
Kepler-16 b,3
Kepler-18 b,2
Kepler-18 c,2
Kepler-18 d,2
Kepler-199 b,1
Kepler-199 c,1
Kepler-25 b,1
Kepler-25 c,1
Kepler-289 b,2
Kepler-289 c,2
Kepler-297 b,2
Kepler-297 c,2
Kepler-30 b,2
Kepler-30 c,2
Kepler-30 d,2
Kepler-338 b,1
Kepler-338 e,1
Kepler-34 b,2
Kepler-35 b,2
Kepler-36 b,2
Kepler-36 c,2
Kepler-37 d,1
Kepler-396 b,2
Kepler-396 c,2
Kepler-410 A b,2
Kepler-411 b,2
Kepler-411 c,2
Kepler-411 d,2
Kepler-412 b,2
Kepler-462 c,2
Kepler-47 b,2
Kepler-47 c,2
Kepler-50 b,1
Kepler-50 c,1
Kepler-51 b,2
Kepler-51 c,2
Kepler-51 d,2
Kepler-65 c,1
Kepler-65 d,1
Kepler-79 b,2
Kepler-79 c,2
Kepler-79 d,2
Kepler-79 e,2
Kepler-83 b,2
Kepler-83 c,2
Kepler-9 b,1
Kepler-9 c,1
TOI-1266 b,4
TOI-1266 c,4
TOI-216.01,17
TOI-216.02,17
WASP-12 b,1
WASP-126 b,18
WASP-18 b,4
WASP-43 b,1
