Exoplanet,Products,Period,Epochs
55 Cnc e,1,0.7365448333333333,30
AU Mic b,2,8.463137,6
CoRoT-1 b,1,1.5089614812499998,15
CoRoT-4 b,1,9.20205,3
CoRoT-5 b,1,4.0378962,6
CoRoT-7 b,1,0.8535879444444444,26
CoRoT-12 b,1,2.828042,8
CoRoT-13 b,1,4.03519,6
CoRoT-14 b,1,1.5121400000000003,15
CoRoT-18 b,1,1.9000693,12
CoRoT-19 b,1,3.89713,6
CoRoT-20 b,1,9.242850000000002,3
CoRoT-21 b,1,2.72474,9
CoRoT-24 b,1,5.1134,5
CoRoT-24 c,1,11.759,2
CoRoTID 223977153 b,1,6.718369999999999,4
DS Tuc A b,3,8.138268,9
GJ 143 b,7,35.61253,5
GJ 357 b,1,3.930773,6
GJ 436 b,1,2.6438881037499997,9
GJ 1132 b,2,1.6289307999999998,27
GJ 1252 b,2,0.5182349,85
GJ 3473 b,1,1.1980035,19
HAT-P-2 b,2,5.633465433333334,8
HAT-P-3 b,2,2.899720952307692,16
HAT-P-4 b,1,3.0565229555555558,8
HAT-P-5 b,1,2.788490833333334,8
HAT-P-7 b,2,2.204735944066667,20
HAT-P-9 b,1,3.92284168,6
HAT-P-11 b,2,4.887802679666667,9
HAT-P-12 b,1,3.213059345555555,7
HAT-P-14 b,2,4.62766659090909,10
HAT-P-16 b,1,2.77596538,8
HAT-P-17 b,1,10.338523,3
HAT-P-18 b,2,5.508011871428572,8
HAT-P-21 b,1,4.124474166666666,6
HAT-P-22 b,1,3.21222,7
HAT-P-24 b,1,3.3552420428571423,7
HAT-P-30 b,1,2.8105958333333327,8
HAT-P-31 b,1,5.005424166666666,5
HAT-P-33 b,1,3.474474,7
HAT-P-34 b,1,5.452653199999999,5
HAT-P-35 b,1,3.646705666666667,7
HAT-P-36 b,1,1.3273468862499997,17
HAT-P-37 b,1,2.7974360000000003,8
HAT-P-42 b,1,4.641877200000001,5
HAT-P-43 b,1,3.3326874,7
HAT-P-44 b,1,4.301218333333334,6
HAT-P-50 b,1,3.1220109000000003,8
HAT-P-55 b,2,3.5852467000000003,13
HAT-P-66 b,1,2.972086,8
HAT-P-67 b,2,4.810102275,10
HATS-1 b,1,3.4464589999999995,7
HATS-2 b,1,1.354133,17
HATS-3 b,1,3.5478508333333334,7
HATS-4 b,1,2.516729,9
HATS-5 b,1,4.763387000000002,5
HATS-6 b,1,3.3252725,7
HATS-7 b,1,3.185315,7
HATS-13 b,2,3.0440499,15
HATS-14 b,2,2.76676406,16
HATS-16 b,2,2.686502,17
HATS-17 b,2,16.254610999999993,3
HATS-18 b,1,0.83784204,27
HATS-22 b,1,4.7228124000000005,5
HATS-23 b,1,2.1605156,11
HATS-24 b,1,1.3484963600000002,17
HATS-25 b,1,4.2986432,6
HATS-26 b,2,3.3023881,14
HATS-27 b,2,4.637038,10
HATS-28 b,1,3.1810781,7
HATS-29 b,1,4.605874900000001,5
HATS-30 b,4,3.1743516,28
HATS-32 b,2,2.8126548,16
HATS-33 b,2,2.5495551,18
HATS-34 b,3,2.1061607,32
HATS-43 b,2,4.3888497000000015,10
HATS-44 b,2,2.7439004,16
HATS-45 b,2,4.1876244,11
HATS-46 b,4,4.7423729,19
HATS-47 b,2,3.9228038,12
HATS-48 A b,2,3.131764066666667,14
HATS-57 b,1,2.350621,10
HATS-60 b,1,3.5608283333333333,7
HATS-61 b,1,7.817953333333333,3
HATS-63 b,1,3.0566527333333338,8
HATS-68 b,2,3.586221873333334,13
HATS-69 b,1,2.2252577000000002,10
HATS-71 b,4,3.7955175000000003,24
HD 1397 b,1,11.5356752,2
HD 2685 b,3,4.1268975,16
HD 15337 b,3,4.7565265,14
HD 15337 c,3,17.1784,4
HD 17156 b,3,21.216508855555556,4
HD 21749 c,7,7.788499,20
HD 63433 b,1,7.1079300000000005,4
HD 63433 c,1,20.54552825,2
HD 80606 b,1,111.43368555555556,1
HD 86226 c,1,3.984489,6
HD 95338 b,1,55.086666666666666,1
HD 97658 b,1,9.49066,3
HD 108236 b,2,3.795615,12
HD 108236 c,2,6.203532666666667,8
HD 108236 d,2,14.175680333333334,4
HD 108236 e,2,19.59128975,3
HD 108236 f,2,29.54115,2
HD 118203 b,3,6.1335,11
HD 136352 b,1,11.577526666666666,2
HD 136352 c,1,27.586475,1
HD 149026 b,2,2.875891314285714,16
HD 191939 b,9,8.880405666666666,23
HD 191939 c,9,28.580593333333336,7
HD 191939 d,9,38.3561,6
HD 202772 A b,2,3.308958666666667,14
HD 213885 b,3,1.008035,66
HD 219134 b,2,3.0929956,15
HD 219134 c,2,6.7641480000000005,7
HD 219666 b,2,6.03607,8
