Exoplanet,TIC ID,Products,Period,Epochs
55 Cnc e,332064670,1,0.7365478,30
AU Mic b,441420236,2,8.462991,6
CoRoT-1 b,36352297,1,1.5089557,15
CoRoT-4 b,36440357,1,9.20205,3
CoRoT-5 b,234112540,1,4.0378962,6
CoRoT-7 b,280304863,1,0.853585,26
CoRoT-12 b,280210963,1,2.828042,8
CoRoT-13 b,281909674,1,4.03519,6
CoRoT-14 b,282706928,1,1.51214,15
CoRoT-18 b,37168957,1,1.9000693,12
CoRoT-19 b,42821097,1,3.89713,6
CoRoT-21 b,280420719,1,2.72474,9
CoRoT-24 b,36105482,1,5.1134,5
CoRoT-24 c,36105482,1,11.759,2
DS Tuc A b,410214986,3,8.138268,9
GJ 143 b,279741379,7,35.61253,5
GJ 357 b,413248763,1,3.93086,6
GJ 436 b,138819293,1,2.64394,9
GJ 1252 b,370133522,2,0.5182349,85
GJ 3473 b,452866790,1,1.1980035,19
HAT-P-2 b,39903405,2,5.6334729,8
HAT-P-3 b,311035838,2,2.899703,16
HAT-P-4 b,138294130,1,3.0565114,8
HAT-P-5 b,76419763,1,2.788491,8
HAT-P-7 b,424865156,2,2.204735471,20
HAT-P-9 b,371234684,1,3.922814,6
HAT-P-11 b,28230919,2,4.887802443,9
HAT-P-14 b,101721385,2,4.627657,10
HAT-P-16 b,191284318,1,2.77596,8
HAT-P-18 b,21744120,2,5.508029,8
HAT-P-21 b,17993892,1,4.124461,6
HAT-P-22 b,252479260,1,3.21222,7
HAT-P-24 b,440777904,1,3.35524,7
HAT-P-30 b,455135327,1,2.810595,8
HAT-P-31 b,320798691,1,5.005425,5
HAT-P-33 b,239154970,1,3.474474,7
HAT-P-34 b,278348461,1,5.452654,5
HAT-P-35 b,455096220,1,3.646706,7
HAT-P-36 b,373693175,1,1.327347,17
HAT-P-37 b,267572272,1,2.797436,8
HAT-P-42 b,270468559,1,4.641876,5
HAT-P-43 b,468987719,1,3.332688,7
HAT-P-50 b,17746821,1,3.1220109,8
HAT-P-55 b,311408969,2,3.5852467,13
HAT-P-66 b,137881699,1,2.972086,8
HAT-P-67 b,198588220,2,4.81010205,10
HATS-1 b,219698950,1,3.446459,7
HATS-2 b,413376180,1,1.354133,17
HATS-4 b,59843967,1,2.516729,9
HATS-6 b,33521996,1,3.3252725,7
HATS-13 b,289793076,2,3.0440499,15
HATS-14 b,29344935,2,2.7667641,16
HATS-17 b,73717937,2,16.254611,3
HATS-18 b,14614418,1,0.8378434,27
HATS-22 b,14661418,1,4.7228124,5
HATS-23 b,7088246,1,2.1605156,11
HATS-24 b,380589029,1,1.3484954,17
HATS-25 b,437333618,1,4.2986432,6
HATS-26 b,315002523,2,3.3023881,14
HATS-27 b,248111245,2,4.637038,10
HATS-28 b,6663331,1,3.1810781,7
HATS-29 b,201604954,1,4.6058749,5
HATS-30 b,281459670,4,3.1743516,28
HATS-32 b,204317710,2,2.8126548,16
HATS-33 b,360742636,2,2.5495551,18
HATS-34 b,355703913,3,2.1061607,32
HATS-47 b,158297421,2,3.9228038,12
HATS-60 b,145750719,1,3.560827,7
HATS-61 b,44745133,1,7.817954,3
HATS-68 b,322307342,2,3.5862234,13
HATS-69 b,467971286,1,2.2252577,10
HD 1397 b,394137592,1,11.53604,2
HD 2685 b,267263253,3,4.12692,16
HD 17156 b,302773669,3,21.2163979,4
HD 80606 b,457134360,1,111.43637,1
HD 95338 b,304142124,1,55.086,1
HD 97658 b,82308728,1,9.489295,3
HD 108236 f,260647166,2,29.54115,2
HD 149026 b,255930614,2,2.8758916,16
HD 191939 b,269701147,9,8.880411,23
HD 191939 c,269701147,9,28.5806,7
HD 191939 d,269701147,9,38.3561,6
HD 202772 A b,290131778,2,3.30896,14
HD 213885 b,403224672,3,1.008035,66
HD 219134 b,283722336,2,3.0931,15
HD 219666 b,266980320,2,6.03607,8
HD 332231 b,199376584,2,18.71204,3
HR 858 b,178155732,3,3.58599,19
HR 858 c,178155732,3,5.97293,12
HR 858 d,178155732,3,11.23,6
K2-98 b,366410512,1,10.136448,3
K2-114 b,366576758,1,11.391013,2
K2-237 b,16288184,1,2.1805577,11
K2-261 b,281731203,1,11.63344,2
K2-265 b,146364192,1,2.369172,10
KELT-1 b,432549364,1,1.217514,19
KELT-3 b,67666096,1,2.7033902,9
KELT-6 b,165987272,1,7.845582,3
KELT-7 b,367366318,1,2.7347749,9
KELT-8 b,358516596,1,3.24406,7
KELT-11 b,55092869,1,4.736529,5
KELT-12 b,116242971,2,5.0316144,9
KELT-14 b,134537478,1,1.7100566,13
KELT-15 b,268644785,2,3.329441,14
KELT-18 b,293687315,1,2.8717518,8
KELT-20 b,69679391,1,3.4741085,7
KOI-13 b,1717079071,1,1.763588,13
KOI-94 b,273231214,2,3.743208,12
KOI-94 c,273231214,2,10.423648,5
KOI-94 d,273231214,2,22.342989,2
KOI-94 e,273231214,2,54.32031,1
KPS-1 b,99834717,1,1.706291,13
Kepler-9 b,120571842,1,19.23891,2
Kepler-9 c,120571842,1,38.9853,1
Kepler-10 b,377780790,1,0.837491,27
Kepler-10 c,377780790,1,45.2946,1
Kepler-11 b,169175503,2,10.3039,5
Kepler-11 c,169175503,2,13.0241,4
Kepler-11 d,169175503,2,22.6845,2
Kepler-11 e,169175503,2,31.9996,2
Kepler-11 f,169175503,2,46.6888,1
Kepler-11 g,169175503,2,118.3807,1
Kepler-18 b,273690178,2,3.504725,13
Kepler-18 c,273690178,2,7.64159,6
Kepler-18 d,273690178,2,14.85888,3
Kepler-21 b,121214185,1,2.78578,8
Kepler-25 b,120960812,1,6.238297,4
Kepler-25 c,120960812,1,12.7207,2
Kepler-30 b,399794329,2,29.33434,2
Kepler-30 c,399794329,2,60.323105,1
Kepler-30 d,399794329,2,143.34394,1
Kepler-36 c,350810590,2,16.21865,3
Kepler-37 b,164652245,1,13.36731,2
Kepler-37 c,164652245,1,21.302,2
Kepler-37 d,164652245,1,39.7922,1
Kepler-47 b,271548206,2,49.514,1
Kepler-47 c,271548206,2,303.158,1
Kepler-68 b,417676622,2,5.3988,9
Kepler-68 c,417676622,2,9.6051,5
Kepler-78 b,270701667,2,0.35500744,124
Kepler-138 b,159376971,1,10.3126,3
Kepler-289 b,273234825,2,34.545,2
Kepler-289 c,273234825,2,125.8518,1
Kepler-289 d,273234825,2,66.0634,1
Kepler-410 A b,164458714,2,17.833648,3
Kepler-411 d,399954349,2,58.02035,1
Kepler-412 b,158170594,2,1.7208604,26
Kepler-444 b,394172596,1,3.6001053,7
Kepler-444 c,394172596,1,4.5458841,5
Kepler-444 d,394172596,1,6.189392,4
Kepler-444 e,394172596,1,7.743493,3
Kepler-444 f,394172596,1,9.740486,3
Kepler-538 b,28227113,2,81.73778,1
Kepler-1651 b,48353358,2,9.87863917,5
L 168-9 b,234994474,2,1.4015,32
LHS 1140 b,92226327,2,24.736,2
LHS 1140 c,92226327,2,3.777931,12
LHS 1815 b,260004324,17,3.81433,98
LHS 3844 b,410153553,3,0.46292792,143
LP 791-18 b,181804752,1,0.948005,24
LP 791-18 c,181804752,1,4.989963,5
LTT 3780 b,36724087,1,0.7683881,29
LTT 3780 c,36724087,1,12.252048,2
NGTS-1 b,192826603,2,2.647298,17
NGTS-6 b,1528696,1,0.882058,25
NGTS-11 b,54002556,1,35.455285,1
OGLE2-TR-L9 b,466840711,2,2.4855335,18
OGLE-TR-111 b,465390152,2,4.01451,11
OGLE-TR-132 b,465144510,2,1.689868,26
OGLE-TR-182 b,466884459,2,3.9791,12
OGLE-TR-211 b,390001646,2,3.67724,12
Qatar-1 b,236887394,4,1.42002504,62
Qatar-5 b,190998418,1,2.8792319,8
Qatar-10 b,229791084,3,1.645321,40
TOI-125 b,52368076,3,4.65382,15
TOI-125 c,52368076,3,9.15059,8
TOI-125 d,52368076,3,19.98,4
TOI-132 b,89020549,2,2.1097008,21
TOI-157 b,140691463,9,2.0845435,95
TOI-163 b,179317684,10,4.231306,52
TOI-169 b,183120439,3,2.2554477,30
TOI-172 b,29857954,1,9.47721,3
TOI-251 b,224225541,2,4.93777,9
TOI-270 b,259377017,4,3.36008,27
TOI-270 d,259377017,4,11.38014,8
TOI-540 b,200322593,4,1.2391491,71
TOI-564 b,1003831,1,1.651144,14
TOI-677 b,280206394,2,11.2366,4
TOI-700 b,150428135,15,9.97701,33
TOI-700 c,150428135,15,16.051998,21
TOI-700 d,150428135,15,37.426,9
TOI-776 b,306996324,1,8.24664,3
TOI-776 c,306996324,1,15.6653,2
TOI-813 b,55525572,14,83.8911,4
TOI-824 b,193641523,2,1.392978,32
TOI-905 b,261867566,1,3.739494,6
TOI-954 b,44792534,1,3.6849729,6
TOI-1130 b,254113311,1,4.066499,6
TOI-1130 c,254113311,1,8.350381,3
TOI-1235 b,103633434,3,3.444717,20
TOI-1266 b,467179528,4,10.894843,9
TOI-1266 c,467179528,4,18.80151,5
TOI-1728 b,285048486,1,3.49151,7
TOI-1899 b,172370679,2,29.02,2
TrES-2 b,399860444,1,2.47063,9
TrES-3 b,116264089,2,1.30618608,34
TrES-4 b,159742538,2,3.5539268,13
WASP-3 b,27848472,1,1.8468372,12
WASP-4 b,402026209,3,1.338231602,50
WASP-5 b,184240683,2,1.6284246,27
WASP-7 b,389352124,1,4.9546416,5
WASP-8 b,183532609,2,8.158715,6
WASP-12 b,86396382,1,1.0914203,21
WASP-15 b,111991770,1,3.7520656,6
WASP-16 b,46096489,1,3.1186009,8
WASP-17 b,66818296,1,3.735438,6
WASP-18 b,100100827,4,0.9414518,94
WASP-19 b,35516889,1,0.78884,28
WASP-20 b,211438925,2,4.8996285,9
WASP-22 b,257567854,1,3.5327313,7
WASP-23 b,170102285,1,2.9444256,8
WASP-26 b,32487566,1,2.7566004,8
WASP-29 b,183537452,2,3.922727,12
WASP-31 b,437248515,1,3.405909,7
WASP-33 b,129979528,1,1.21986967,18
WASP-36 b,13349647,1,1.5373653,15
WASP-41 b,398943781,1,3.052404,8
WASP-43 b,36734222,1,0.81347753,27
WASP-44 b,12862099,1,2.4238039,10
WASP-45 b,120610833,2,3.1260876,15
WASP-46 b,231663901,2,1.43037,31
WASP-48 b,284475976,2,2.143634,21
WASP-49 b,306362738,1,2.7817387,8
WASP-50 b,382391899,2,1.9550959,23
WASP-53 b,268766053,2,3.3098443,14
WASP-55 b,294301883,1,4.46563,5
WASP-58 b,424435940,2,5.01718,9
WASP-61 b,13021029,1,3.8559,6
WASP-62 b,149603524,17,4.411953,85
WASP-63 b,393414358,2,4.37809,11
WASP-66 b,53735810,1,4.086052,6
WASP-71 b,422655579,1,2.9036747,8
