Exoplanet,TIC ID,Products,Period,Epochs,RA,DEC,Distance
55 Cnc e,332064670,1,0.736539,30,133.1468373,28.3298154,12.5855
CoRoT-1 b,36352297,2,1.5089557,30,102.0798591,-3.1021394,787.909
CoRoT-4 b,36440357,2,9.20205,5,102.1946233,-0.6727861,726.412
CoRoT-5 b,234112540,2,4.0378962,11,101.2772396,0.8152163,882.472
CoRoT-7 b,280304863,2,0.85359163,52,100.9561682,-1.0630076,159.906
CoRoT-7 c,280304863,2,3.698,12,100.9561682,-1.0630076,159.906
CoRoT-12 b,280210963,2,2.828042,16,100.7656871,-1.2964437,1126.37
CoRoT-13 b,281909674,2,4.03519,11,102.7211432,-5.0864557,1148.93
CoRoT-14 b,282706928,2,1.51214,29,103.4242023,-5.5360385,1744.6
CoRoT-18 b,37168957,2,1.9000693,24,98.1724172,-0.0316045,764.889
CoRoT-19 b,42821097,2,3.89713,12,97.0335983,-0.1707293,790.663
CoRoT-20 b,234825296,2,9.24285,5,97.7204249,0.2268931,844.061
CoRoT-21 b,280420719,2,2.72474,17,101.0526207,-0.2991544,1398.8341969
CoRoT-24 b,36105482,2,5.1134,9,101.922543,-3.7192892,591.555
CoRoT-24 c,36105482,2,11.759,4,101.922543,-3.7192892,591.555
CoRoTID 223977153 b,220323515,2,6.71837,7,100.1951714,9.2573953,576.683
EPIC 246851721 b,411839167,1,6.180235,4,78.9198197,16.2786991,372.632
GJ 143 b,279741379,7,35.61253,5,51.7501882,-63.500166,16.32
GJ 357 b,413248763,1,3.93072,6,144.0074644,-21.6650634,9.44181
GJ 436 b,138819293,1,2.64388312,9,175.5505363,26.7030669,9.75321
GJ 1132 b,101955023,2,1.628931,27,153.7090696,-47.1549358,12.613
GJ 1252 b,370133522,2,0.5182349,85,306.9286462,-56.4622865,20.373
GJ 3473 b,452866790,1,1.1980035,19,120.5936065,3.3371629,27.3644
HAT-P-2 b,39903405,2,5.6335158,8,245.1514324,41.0479601,127.774
HAT-P-3 b,311035838,2,2.8997,16,206.0940142,48.028565,134.554
HAT-P-4 b,138294130,1,3.056536,8,229.99122,36.229545,320.451
HAT-P-5 b,76419763,1,2.78849,8,274.4055335,36.6214617,303.336
HAT-P-7 b,424865156,2,2.20474,20,292.24719,47.9695429,341.079
HAT-P-9 b,371234684,1,3.92281072,6,110.1685157,37.1405946,455.203
HAT-P-11 b,28230919,2,4.88780244,9,297.7101763,48.0818635,37.7647
HAT-P-12 b,198108326,1,3.2130598,7,209.3886452,43.49331,142.751
HAT-P-14 b,101721385,2,4.62767,10,260.1161719,38.2421682,222.663
HAT-P-16 b,191284318,1,2.77596,8,9.5730343,42.4630961,226.637
HAT-P-17 b,266593143,1,10.33852,3,324.5359781,30.4881882,92.3831
HAT-P-18 b,21744120,2,5.508023,8,256.346376,33.0123251,161.4
HAT-P-21 b,17993892,1,4.12448,6,171.2749348,41.0280207,277.278
HAT-P-22 b,252479260,1,3.21222,7,155.6814593,50.1287115,81.7647
HAT-P-24 b,440777904,2,3.35524,14,108.8251171,14.2626064,415.344
HAT-P-30 b,455135327,1,2.8106,8,123.9498431,5.8368669,213.985
HAT-P-31 b,320798691,1,5.00542,5,271.5376722,26.4266061,344.05
HAT-P-33 b,239154970,1,3.47447,7,113.1842383,33.8350214,396.11
HAT-P-34 b,278348461,1,5.452654,5,303.1954355,18.1047776,249.325
HAT-P-35 b,455096220,1,3.646706,7,123.250703,4.7870288,506.965
HAT-P-36 b,373693175,1,1.32734683,17,188.2662048,44.9153672,294.419
HAT-P-37 b,267572272,1,2.797436,8,284.2960393,51.2691212,390.594
HAT-P-42 b,270468559,1,4.641878,5,135.3443583,6.0970828,405.238
HAT-P-43 b,468987719,1,3.332687,7,128.9256885,10.2065866,528.825
HAT-P-44 b,168699373,1,4.301219,6,213.1438604,47.0147826,347.85
