Exoplanet,TIC ID,Products,Period,Epochs,RA,DEC,Distance
CoRoT-1 b,36352297,1,1.5089557,15,102.0798591,-3.1021394,787.909
CoRoT-4 b,36440357,1,9.20205,3,102.1946233,-0.6727861,726.412
CoRoT-5 b,234112540,1,4.0378962,6,101.2772396,0.8152163,882.472
CoRoT-7 b,280304863,1,0.85359163,26,100.9561682,-1.0630076,159.906
CoRoT-7 c,280304863,1,3.698,6,100.9561682,-1.0630076,159.906
CoRoT-12 b,280210963,1,2.828042,8,100.7656871,-1.2964437,1126.37
CoRoT-13 b,281909674,1,4.03519,6,102.7211432,-5.0864557,1148.93
CoRoT-14 b,282706928,1,1.51214,15,103.4242023,-5.5360385,1744.6
CoRoT-18 b,37168957,1,1.9000693,12,98.1724172,-0.0316045,764.889
CoRoT-19 b,42821097,1,3.89713,6,97.0335983,-0.1707293,790.663
CoRoT-20 b,234825296,1,9.24285,3,97.7204249,0.2268931,844.061
CoRoT-21 b,280420719,1,2.72474,9,101.0526207,-0.2991544,1398.8341969
CoRoT-24 b,36105482,1,5.1134,5,101.922543,-3.7192892,591.555
CoRoT-24 c,36105482,1,11.759,2,101.922543,-3.7192892,591.555
CoRoTID 223977153 b,220323515,1,6.71837,4,100.1951714,9.2573953,576.683
EPIC 246851721 b,411839167,1,6.180235,4,78.9198197,16.2786991,372.632
GJ 143 b,279741379,4,35.61253,3,51.7501882,-63.500166,16.32
GJ 1252 b,370133522,1,0.5182349,43,306.9286462,-56.4622865,20.373
HAT-P-24 b,440777904,1,3.35524,7,108.8251171,14.2626064,415.344
HAT-P-30 b,455135327,1,2.8106,8,123.9498431,5.8368669,213.985
HAT-P-42 b,270468559,1,4.641878,5,135.3443583,6.0970828,405.238
HAT-P-43 b,468987719,1,3.332687,7,128.9256885,10.2065866,528.825
HAT-P-50 b,17746821,1,3.1220109,8,118.0634379,12.1393474,515.458
HAT-P-69 b,379929661,1,4.7869491,5,130.5056385,3.7105662,341.263
HATS-4 b,59843967,1,2.516729,9,94.1120914,-22.5468824,416.459
HATS-5 b,139733308,1,4.763387,5,67.2228465,-21.4820568,246.384
HATS-6 b,33521996,2,3.3252725,14,88.1468079,-19.0316268,169.318
HATS-13 b,289793076,1,3.0440499,8,316.9614798,-26.0967205,421.855
HATS-14 b,29344935,1,2.7667641,8,313.2154754,-25.6873756,513.011
HATS-16 b,77044471,1,2.686502,9,358.5588439,-30.0130385,757.044
HATS-30 b,281459670,2,3.1743516,14,5.618525,-59.9425892,342.14
HATS-32 b,204317710,1,2.8126548,8,346.0750861,-21.2720168,745.116
HATS-33 b,360742636,1,2.5495551,9,294.6336944,-55.3302692,248.46
HATS-34 b,355703913,1,2.1061607,11,0.7744866,-62.4693167,508.842
HATS-39 b,112604564,1,4.5776348,5,112.4192251,-29.9379163,878.521
HATS-40 b,172598832,1,3.2642736,7,100.5712467,-29.77678,1342.29
HATS-41 b,53750200,2,4.193649,11,103.5173558,-27.0504156,737.668
HATS-42 b,98283926,2,2.292102,20,108.4523991,-33.4373462,800.377
HATS-43 b,78055054,1,4.3888497,5,80.5382418,-30.9708179,362.273
HATS-44 b,32499655,2,2.7439004,16,84.3267559,-27.9725758,446.035
HATS-45 b,4616072,1,4.1876244,6,101.9942455,-21.9107112,772.11
HATS-46 b,281541555,2,4.7423729,10,6.7026401,-56.3161021,453.808
HATS-48 A b,201642601,1,3.1316666,7,288.6720048,-59.5793505,263.609
HATS-51 b,53458803,2,3.3488702,14,102.8474248,-29.0586551,389.57
HATS-55 b,114299824,1,4.2042001,6,114.2833819,-32.7554188,609.838
HATS-57 b,178289267,1,2.350621,10,60.9482779,-19.0568182,279.485
HATS-60 b,145750719,1,3.560829,7,341.3640336,-14.9917747,486.474
HATS-61 b,44745133,1,7.817953,3,61.6578005,-25.3496674,679.761
HATS-63 b,178879588,2,3.0566527,15,67.418582,-28.1972149,623.232
HATS-66 b,52689469,2,3.1414391,14,101.3948048,-33.8816918,1477.98
HATS-68 b,322307342,2,3.5862202,13,15.006077,-58.9047242,603.955
HATS-69 b,467971286,1,2.2252577,10,289.2974275,-60.8917599,414.537
HATS-70 b,98545929,2,1.8882378,24,109.1045212,-31.2443947,1458.83
HD 2685 b,267263253,2,4.12688,11,7.3289156,-76.304032,196.852
HD 15337 b,120896927,1,4.75615,5,36.8678846,-27.6361171,44.8155
HD 15337 c,120896927,1,17.1784,2,36.8678846,-27.6361171,44.8155
HD 21749 c,279741379,4,7.78993,12,51.7501882,-63.500166,16.32
HD 110082 b,383390264,1,10.18271,3,192.5892855,-88.1211107,105.096
HD 183579 b,320004517,1,17.471278,2,293.2866147,-54.5327284,57.2651
HD 202772 A b,290131778,1,3.308958,7,319.6995877,-26.6163743,161.498
HD 213885 b,403224672,2,1.008035,44,338.9837166,-59.864829,48.0883
HD 219666 b,266980320,1,6.03607,4,349.5592665,-56.9039857,94.1719
HD 221416 b,441462736,1,14.2767,2,353.0331863,-21.8012007,95.5483
HIP 65 A b,201248411,2,0.9809734,45,0.1856063,-54.8308228,61.7856
HR 858 b,178155732,2,3.58599,13,42.9849779,-30.8140609,31.964
HR 858 c,178155732,2,5.97293,8,42.9849779,-30.8140609,31.964
HR 858 d,178155732,2,11.23,4,42.9849779,-30.8140609,31.964
K2-80 b,242961495,1,19.0918,2,59.037486,13.5590288,200.802
K2-80 c,242961495,1,5.605,4,59.037486,13.5590288,200.802
K2-98 b,366410512,1,10.136448,3,126.4882114,11.5110933,518.625
K2-115 b,7020254,1,20.272615,2,126.5535002,12.281851,413.591
K2-117 b,458686847,1,1.2916,17,133.8557342,10.4692176,101.632
K2-117 c,458686847,1,5.444017,5,133.8557342,10.4692176,101.632
K2-180 b,366411016,1,8.867209,3,126.4643579,10.246577,203.896
K2-182 b,366631954,1,4.736837,5,130.180046,10.9829509,154.83
K2-260 b,293612446,1,2.6266657,9,76.8673317,16.8676948,663.834
K2-265 b,146364192,1,2.369172,10,342.0316493,-14.4947789,138.671
KELT-14 b,134537478,2,1.7100566,26,108.301409,-42.4097623,250.121
KELT-15 b,268644785,1,3.32944,7,117.4149764,-52.1204471,324.683
L 98-59 b,307210830,3,2.2531,30,124.5328604,-68.3144658,10.6194
L 98-59 c,307210830,3,3.6904,18,124.5328604,-68.3144658,10.6194
L 98-59 d,307210830,3,7.4512,9,124.5328604,-68.3144658,10.6194
L 168-9 b,234994474,1,1.4015,16,350.0285917,-60.0657292,25.1496
LHS 1140 b,92226327,1,24.736959,1,11.248632,-15.2741085,14.9861
LHS 1140 c,92226327,1,3.777931,6,11.248632,-15.2741085,14.9861
LHS 1815 b,260004324,8,3.81433,46,91.0899861,-55.3115376,29.8424
LHS 3844 b,410153553,2,0.46292913,95,340.4962038,-69.1721081,14.8846
LTT 1445 A b,98796344,1,5.35882,5,45.4624781,-16.5944956,6.86929
LTT 9779 b,183985250,1,0.792052,28,358.6688767,-37.6282237,80.4373
NGTS-1 b,192826603,2,2.647298,17,82.7142134,-36.6309812,218.121
NGTS-3 A b,124778445,1,1.6753728,14,94.4447595,-35.706364,743.972
NGTS-6 b,1528696,1,0.882059,25,75.795382,-30.3994612,308.262
NGTS-11 b,54002556,1,35.45533,1,23.5214497,-14.4191493,190.422
TOI-122 b,231702397,2,5.07803,9,332.9482355,-58.946085,62.118
TOI-125 b,52368076,1,4.65382,5,23.5934253,-66.6763495,111.059
TOI-125 c,52368076,1,9.15059,3,23.5934253,-66.6763495,111.059
TOI-125 d,52368076,1,19.98,2,23.5934253,-66.6763495,111.059
TOI-132 b,89020549,1,2.1097019,11,338.3996623,-43.436872,163.678
TOI-150.01,271893367,8,5.857487,30,112.965421,-73.6060358,336.267
TOI-157 b,140691463,8,2.0845435,85,73.7014398,-76.6806061,355.683
TOI-163 b,179317684,8,4.231306,42,79.7682532,-71.8955269,411.719
TOI-169 b,183120439,2,2.2554477,20,16.7786879,-75.1989452,407.84
TOI-172 b,29857954,1,9.47725,3,316.6318791,-26.6928654,342.831
