Exoplanet,TIC ID,Period,Semi-Major Axis,Radius (J),Mass (E),Mass (J),Eccentricity,TTV Flag,Temperature (Star),Radius (Star),Mass (Star),Metallicity (Star),Logg (Star),Transit Mid Point,Transit Duration,Temperature Error (Star),Radius Error (Star),Metallicity Error (Star),Logg Error,Inclination,Periastron,Right Ascension,Declination,Galactic Lattitude,Galactic Longitude,Distance (pc),Parallax (mas),TESS Magnitude,Period Error,Transit Mid Point Error,Semi Major Axis Error,Planet Radius Error (J),Inclination Error,Periastron Error,Eccentricity Error,Archive,Transits,Date,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Archive Used,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
1I/'Oumuamua,,,,2e-06,,,1.196,,,1.0,1.0,,,,,,,,,,241.5,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
1RXS1609 b,,,,1.7,,,,,4060.0,1.35,0.85,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
1RXS 1609 b,,,330.0,1.7,,,,,4060.0,1.35,0.73,,,,,200.0,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
1RXS J160929.1-210524 b,TIC 48964101,,330.0,1.664,3000.0,8.0,,0,4060.0,1.31,0.85,,4.0,,,300.0,0.18,,0.14,,,242.3762343,-21.0831403,22.03031,352.8905,139.135,7.15949,11.1941,,,,,,,,NASA,,,,,,,,,,,,
1RXS J235133.3+312720 b,,,120.0,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
1SWASP J1407 b,,10044.0,,,,,0.8,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
1SWASP J1407 b,,3725.0,3.9,,,,,,4400.0,0.99,0.9,,,,,100.0,0.11,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2I/Borisov,,,,6.2e-05,,,3.155,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M0045+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M0117-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M1059-21 b,,690.0,0.8,,,,0.146,,,,0.81,,,,,,,,,32.9,256.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M1207 A,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M1207 b,,,,,,,,,2550.0,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M1207 b,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M1510A a,,20.902,0.063,1.57,,,0.31,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M1510A b,,20.902,0.063,1.57,,,0.31,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 0103-55 (AB) b,,,84.0,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 0122-24 b,,,52.0,1.0,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 0219-39 b,,,156.0,1.44,,,,,3064.0,0.27,0.11,,,,,76.0,0.01,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 0441+23 b,,,15.0,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 0746+20 b,,4640.0,2.897,0.97,,,0.487,,2205.0,0.089,0.12,,,,,,,,,138.2,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M 1938+46 b,,416.0,0.92,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 1938+4603 b,,416.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M 2140+16 b,,7340.0,3.53,0.92,,,0.26,,2300.0,0.1,0.08,,,,,80.0,0.043,,,46.2,223.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 2140+16 b,,7340.0,3.53,0.92,,,0.26,,2300.0,0.1,0.08,,,,,,,,,46.2,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M 2206-20 b,,8686.0,4.48,1.3,,,0.0,,2350.0,0.11,0.13,,,,,80.0,0.015,,,44.3,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 2206-20 b,,8686.0,4.48,1.3,,,0.0,,2350.0,0.11,0.13,,,,,,,,,44.3,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M 2236+4751 b,,,230.0,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2M 044144 b,,,,,,,,,2100.0,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2M J2126-81 b,,,6900.0,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS 0122-2439 B,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2MASS 0359+2009 b,,,540.0,,,,,,2900.0,,0.06,,,,,50.0,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J0219-3925 B,,,,1.44,,,,,3064.0,0.281,0.108,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
2MASS J0249-0557 (AB) c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J0249-0557A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J0249-0557B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J0348-6022,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J0407+1546,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J1155-7919 b,,,582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J1219+3128,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J1450-7841 A,,,300.0,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
2MASS J1450-7841 B,,,300.0,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
